Order ID,Order Date,Customer ID,Age,Product ID,Product Name,Category,Sub-Category,Segment,Country,City,State,Postal Code,Region,Sales,Quantity,Discount,Profit,Ship Mode,Shipment Weight,Shipping id,Customer Income,Warehouse block,Mode of Shipment,Customer rating,Cost of the Product,Prior purchases,Product importance,Gender,Weight in gms,ReachedonTime Y.N,Dimensions,Delivery Method,Max Capacity,Purchase Address
2017107503,43831,14724,22,10003878,"Linden 10"" Round Wall Clock, Black",Furniture,Furnishings,Consumer,United States,Lorain,Ohio,44052,East,48.896,4,0.2,8.5568,Flight,1233,5901,848,D,Flight,2,177,3,low,F,1233,1,14x9x16,Motorcycle,500,"917 1st St, Dallas, TX 75001"
2017144463,43831,20725,44,10001215,Howard Miller 11-1/2" Diameter Brentwood Wall Clock,Furniture,Furnishings,Consumer,United States,Los Angeles,California,90036,West,474.43,11,0,199.2606,Flight,3088,5699,2484,F,Flight,5,216,2,low,M,3088,1,5x20x7,Van,2000,"682 Chestnut St, Boston, MA 02215"
2017154466,43831,13390,40,10002012,Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,Binders,Home Office,United States,Franklin,Wisconsin,53132,Central,3.6,2,0,1.728,Flight,3374,1486,658,A,Flight,2,183,4,low,M,3374,1,9x18x13,Motorcycle,500,"669 Spruce St, Los Angeles, CA 90001"
2017151750,43831,15250,60,10002743,SAFCO Boltless Steel Shelving,Office Supplies,Storage,Consumer,United States,Huntsville,Texas,77340,Central,454.56,5,0.2,-107.958,Flight,1177,4156,2942,B,Flight,3,176,4,medium,M,1177,1,5x17x5,Truck,5000,"669 Spruce St, Los Angeles, CA 90001"
2017151750,43831,15250,35,10002116,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Furniture,Furnishings,Consumer,United States,Huntsville,Texas,77340,Central,141.42,5,0.6,-187.3815,Flight,2484,3458,664,C,Flight,2,184,3,medium,F,2484,1,11x12x6,Truck,5000,"333 8th St, Los Angeles, CA 90001"
2017151750,43831,15250,22,10003199,Office Star - Contemporary Task Swivel Chair,Furniture,Chairs,Consumer,United States,Huntsville,Texas,77340,Central,310.744,4,0.3,-26.6352,Flight,1417,8773,3057,F,Flight,1,162,3,medium,F,1417,1,12x15x16,Truck,5000,"381 Wilson St, San Francisco, CA 94016"
2017151750,43831,15250,44,10003158,Fluorescent Highlighters by Dixon,Office Supplies,Art,Consumer,United States,Huntsville,Texas,77340,Central,12.736,4,0.2,2.2288,Flight,2371,1915,1529,D,Flight,4,250,3,low,F,2371,1,16x9x20,Motorcycle,500,"668 Center St, Seattle, WA 98101"
2017151750,43831,15250,52,10000301,GBC Instant Report Kit,Office Supplies,Binders,Consumer,United States,Huntsville,Texas,77340,Central,6.47,5,0.8,-9.705,Flight,2804,4905,4456,F,Flight,1,233,2,low,F,2804,1,18x20x11,Truck,5000,"790 Ridge St, Atlanta, GA 30301"
2017151750,43831,15250,34,10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,Consumer,United States,Huntsville,Texas,77340,Central,13.748,14,0.8,-22.6842,Flight,1861,7194,4497,A,Flight,4,150,3,low,F,1861,1,12x12x17,Motorcycle,500,"915 Willow St, San Francisco, CA 94016"
2017151750,43831,15250,54,10004708,Fellowes Superior 10 Outlet Split Surge Protector,Office Supplies,Appliances,Consumer,United States,Huntsville,Texas,77340,Central,15.224,2,0.8,-38.8212,Flight,1187,6844,1306,B,Flight,2,164,3,medium,F,1187,1,9x20x5,Van,2000,"83 7th St, Boston, MA 02215"
2017113481,43862,10045,21,10002178,Cisco CP-7937G Unified IP Conference Station Phone,Technology,Machines,Corporate,United States,Jacksonville,North Carolina,28540,South,695.7,2,0.5,-27.828,Flight,2888,7167,3929,C,Flight,4,189,2,medium,M,2888,1,13x14x13,Truck,5000,"444 7th St, Los Angeles, CA 90001"
2017113481,43862,10045,55,10003694,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",Office Supplies,Binders,Corporate,United States,Jacksonville,North Carolina,28540,South,15.66,5,0.7,-12.528,Flight,3253,7137,1419,F,Flight,5,232,3,medium,F,3253,1,16x15x15,Truck,5000,"438 Elm St, Seattle, WA 98101"
2017113481,43862,10045,33,10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,Corporate,United States,Jacksonville,North Carolina,28540,South,28.854,6,0.7,-21.1596,Flight,3667,8392,2518,D,Flight,5,198,3,medium,F,3667,1,13x13x20,Motorcycle,500,"657 Hill St, Dallas, TX 75001"
